abicher|a.ʃe
plurispécifique|ply.ʁi.spe.si.fik
plɛ.nɑ̃.plwa
pneumallergène|pnø.ma.al.lɛʁ.ʒɛn
pneumatothérapie|pnø.ma.te.ʁa.pi
pneumectomie|pnø.mɔ.tɔ.mi
pneumomédiastin|pnø.mɔ.me.djas.tɛ̃
pneumonectomie|pnø.mɔ.tɔ.mi
pneumopéritoine|pnø.mɔ.pe.ʁi.twan
podologique|pɔ.dɔ.lɔ.ʒik
poljé|pus.li.te
polluposteuse|pɔ.tøz
polychlorobenzène|pɔ.li.bɛ̃.zɛn
polyembryonie|pɔ.li.ni
polyglobulie|pɔ.li.li
polyimide|pɔ.li.mid
polyméthylpentène|pɔ.li.me.tɛn
polypnée|pus.ne
polyptyque|pɔ.li.tik
polyradiculonévrite|pɔ.li.ne.vʁit
polythène|pɔ.li.stɛn
polytétrafluoroéthylène|e.ti.lɛn
polyvinylbutyral|pɔ.li.vi.
polyédrale|pɔ.li.dʁal
polémarque|pɔ.le.maʁk
polémiquement|pɔ.le.mik.mɑ̃
porphyra|pɔʁ.fi.ʁa
porpite|pɔʁ.fi.pit
porrection|pɔ.sjɔ̃
porte-affiches|pɔʁ.dɥitʃ
porte-barges|pɔʁ.ɡɔʁʒ
porte-chapeaux|pɔʁ.
portlandien|pɔʁ.lɑ̃d.djɛ̃
posément|pɔst.mɑ̃
potencée|pɔ.se
poteur|pɔt.tœʁ
potomètre|po.mɛtʁ
poudrin|pu.dʁi.dʁɛ̃
pourchasseuse|puʁ.ʃa.ʃa.søz
poursuiveuse|puʁ.sɥi.vøz
poya|pus.ja
poétisme|pɔe.ti.tism
poïkilocytose|pɔ.i.tɔz
pp|pa.
praguoise|pʁaɡ.kwaz
praxéologique|pʁak.se.lɔ.ʒik
prestigieusement|pʁɛs.ti.ʒjøz.mɑ̃
prima-donna|pʁi.ma.na
primage|pʁi.ma.i.maʒ
priorat|pʁi.jɔ.ʁi.ʁa
priori|pʁi.ʁi
probénécide|pʁɔ.sid
procordé|pʁɔ.de
prodigalement|pʁɔ.mɑ̃
productique|pʁɔd.tik
profitante|pʁɔf.tɑ̃t
profundis|pʁɔ.di
progénote|pʁɔ.ʒe.nɔt
propagule|pʁɔ.pa.ɡyl
propanal|pʁɔ.pa.nal
propanier|pʁɔ.pa.nje
propanol|pʁɔ.pa.ta.nɔl
propanoïque|pʁɔ.pa.ik
propective|pʁɔ.tiv
propranolol|pʁɔ.lɔl
propylée|pʁɔ.le
propyne|pʁɔ.ʒin
prosobranche|pʁɔ.bʁɑ̃ʃ
prosopagnosique|pʁɔ.zik
protamine|pʁɔ.a.min
prothioconazole|pʁɔ.a.zɔl
prothrombine|pʁɔ.tʁɔ̃.bin
protéinémie|pʁɔ.te.mi
protéoglycane|pʁɔ.te.kan
provection|pʁɔ.sjɔ̃
provençalisme|pʁɔ.a.lism
proverbialement|pʁɔ.vɛʁ.bjal.mɑ̃
provignement|pʁɔ.vi.mɑ̃
provisionnellement|pʁɔ.vi.zjɔ̃.mɑ̃
provisorat|pʁɔ.vi.ʁa
prudhommale|pʁy.mal
prâkrit|pʁe.kʁit
préceinte|pʁe.sɛ̃t
prédictrice|pʁe.dik.tʁis
prédiffusée|pʁe.di.fy.ze
prédiviseur|pʁe.di.vi.zœʁ
préfab|pʁe.av
prémontrée|pʁe.tʁe
présomptueusement|pʁe.zɔ̃p.tɥøz.mɑ̃
présélecteur|pʁe.se.tœʁ
prétensionneur|pʁe.nœʁ
prétentaine|pʁe.tɑ̃.ɛn
prétentieusement|pʁe.tɑ̃.sjøz.mɑ̃
préteuse|pʁe.tøz
psammophyte|psal.fit
pseudolangrayen|psø.do.jɛ̃
psilotum|psi.tɔm
psoralène|psɔ.lɛn
psoriasique|psɔ.zik
ptoléméenne|ptɔ.me.ɛn
ptyalisme|ptja.a.lism
pudendale|py.dal
pullorose|pyl.ʁɔz
pulmoné|pyl.mɔ.li.te
pulsomètre|pyl.mɛtʁ
puna|py.na
puncheuse|pœn.tʃ.ʃøz
punkette|pœŋk.kɛt
pupaison|pu.zɔ̃
purgeur|pyʁʒ.ʒœʁ
push-pull|py.pyl
puvathérapie|te.ʁa.pi
puérilisme|pɥe.lism
px|pa.
pygmalionisme|piɡ.me.nism
pyorrhée|pi.ʁe
pyothorax|tɔ.ʁaks
pyralène|pi.ʁa.lɛn
pyrocorise|pi.ʁɔ.pʁiz
pyroxylée|pi.ʁɔk.ksi.le
pyroxénite|pi.ʁɔk.nit
pyruvate|pi.vat
pyrétothérapie|pi.ʁe.te.ʁa.pi
pyurie|pi.ʁi
pz|pa.
pédobaptisme|pe.do.ba.tism
pédoflore|pe.do.flɔʁ
pékan|pe.kɑ̃
pélargonium|pe.la.njɔm
pénicillinase|pe.ni.si.naz
pénitence|pe.ni.tɑ̃s
pénitentiale|pe.ni.sjal
péquenotte|pek.nɔt
péribole|pe.ʁi.bɔl
péripatétisme|pe.ʁi.tism
périphériquement|pe.ʁi.fe.ʁik.mɑ̃
péristasis|pe.ʁi.zis
pérylène|pe.ʁi.lɛn
pétrarquiste|pe.tʁaʁ.kist
pétrir|pe.tʁiʁ
pétrogenèse|pe.tʁɔ.ʒə.nɛz
pœcilothermie|pe.si.tɛʁ.mi
qanat|ka.na
qbit|ka.bit
quadribande|kwad.bɑ̃d
quadrifide|kwad.fid
quadrivecteur|kwa.tœʁ
quaiche|ke.wɛʃ
quanti|kɑ̃.ɑ̃.ti
quartolet|kaʁ.tɔ.lɛ
quaterne|kwa.tɛʁ.tɛʁn
quatre-mâts|katʁ.
queuillère|kø.jɛʁ
quillette|kij.jɛt
quilleuse|kij.jøz
quipu|sov.ki.pø
quirite|ki.ʁit
quizalofop|kwiz.
rabaissante|ʁa.bɛ.sɑ̃t
rabibochage|ʁa.ʃaʒ
rabrouement|ʁa.mɑ̃
rabroueuse|ʁa.køz
rabâcheuse|ʁa.bɑ.ʃøz
raccrocheuse|ʁa.kʁɔ.ʁɔ.ʃøz
racheteuse|ʁaʃ.tøz
rachialgie|ʁa.lɔ.ʒi
racketteuse|ʁa.kɛt.tøz
radical-socialiste|ʁa.di.ka.sɔ.sja.list
radicale-socialiste|ʁa.di.kal.sɔ.sja.list
radiculalgie|ʁa.lɔ.ʒi
radiculite|ʁad.lit
radiodiffuseur|ʁa.djo.zœʁ
radiolarite|ʁa.ʁit
radique|ʁad.dik
radjah|ʁad.dʒa
radja|ʁad.dʒa
raffinose|ʁa.fi.noz
rafflésie|ʁa.zi
rag-time|ʁa.tim
raidement|ʁɛd.mɑ̃
rajeunir|ʁa.y.niʁ
rallongement|ʁa.lɔ̃ʒ.mɑ̃
ramasse-monnaie|ʁa.mas.mɔ.nɛ
rameter|ʁa.te
ramus|ɛks.tʁa.my.ʁɔs
rangeuse|rɑ̃.ʒøz
rapiéçage|ʁa.saʒ
rassasiement|ʁa.mɑ̃
rattachisme|ʁa.ʃism
rauwolfia|ʁo.fja
ravoirage|ʁa.vwaʁ.ʁaʒ
rebmane|ʁə.man
rebras|kɔ̃.tʁə.bʁa.kaʒ
recensable|ʁə.sɑ̃.sabl
recez|aʁ.jɛʁ.sɛʁ.vo
reclassification|ʁə.fi.ka.sjɔ̃
recognition|ʁə.kɔ̃.zi.sjɔ̃
recordage|ʁə.kɔʁ.daʒ
recorder|ʁə.kɔʁ.kɔʁ.de
recrudescente|ʁə.kʁy.de.sɑ̃t
rectilignement|ʁɛk.ti.liɲ.mɑ̃
rectoscope|ʁɛk.tɔ.kɔp
reculement|ʁə.kyl.mɑ̃
recycleuse|ʁə.si.kløz
recâblage|ʁə.blaʒ
redénomination|ʁə.de.za.sjɔ̃
refuznik|ʁə.nik
reginglard|ʁə.laʁ
regrèvement|ʁə.mɑ̃
rehaussement|ʁə.os.mɑ̃
rehausseur|ʁə.sœʁ
reines-des-prés|ʁɛn.
relampage|ʁə.paʒ
relanceuse|ʁə.lɑ̃s.søz
relaxologie|ʁə.laks.lɔ.ʒi
relevance|ʁəl.vɑ̃s
releveuse|ʁlə.vøz
reliage|ʁə.ljaʒ
rembuchement|ʁɑ̃.mɑ̃
remettante|ʁə.tɑ̃t
remisier|ʁə.zje
remmouleur|ʁɛm.lœʁ
renardière|ʁə.djɛʁ
renardée|ʁə.de
renforçatrice|ʁɑ̃.fɔʁ.tʁis
reniflage|ʁə.flaʒ
repoussement|ʁə.pu.mɑ̃
resarcelée|ʁə.sa.le
rescription|ʁəs.za.sjɔ̃
ressasseuse|ʁə.sa.søz
ressuyer|ʁɛ.je
restrictivement|ʁɛs.tʁik.tiv.tiv.mɑ̃
resuffixation|ʁə.za.sjɔ̃
retapage|ʁə.ta.paʒ
retissage|ʁə.ti.saʒ
retondre|ʁə.tɔ̃dʁ
retourneuse|ʁə.tuʁ.nøz
retroussement|ʁə.tʁu.mɑ̃
revenant-bon|ʁə.bɔ̃
revolving|ʁe.vɔl.viŋ
rhabdomyosarcome|ʁab.dɔ.saʁ.kom
rhamnolipide|ʁam.li.pid
rhizobium|ʁi.zɔ.bjɔm
rhizocarpée|ʁi.zɔ.pe
rhizoflagellé|ʁi.zɔ.le
rhizophore|ʁi.zɔ.fɔʁ
rhizopode|ʁi.zɔ.pɔd
rhizostome|ʁi.zɔ.tɔm
rhizotomie|ʁi.zɔ.tɔ.mi
rhomboèdre|ʁɔ̃.bɔ.ɛdʁ
rhynchocéphale|ʁɛ̃.se.fal
rhynchote|ʁɛ̃.ʃɔt
rhytidome|ʁi.dɔm
rhéogramme|ʁe.ɔ.ɡʁam
rhéologue|ʁe.ɔ.lɔɡ
rhéotaxie|ʁe.ɔ.tak.si
rhéotrope|ʁe.ɔ.tʁɔp
rhéotropisme|ʁe.ɔ.tʁɔ.pism
rhétoriqueur|ʁe.tɔ.kœʁ
rickettsiose|ʁi.oz
rigolote|ʁi.ɡɔ.lo.lɔt
ringardage|ʁiŋ.daʒ
risorius|ʁi.ys
riveraineté|ʁiv.ʁen.te
rohart|ʁɔ.aʁ
rolandique|ʁɔ.dik
ronflette|ʁɔ̃.flɛt
rotruenge|ʁɔt.taʒ
rottweiller|ʁɔt.je
rotulage|ʁɔ.laʒ
rouennière|ʁu.njɛʁ
roufler|ʁufl.fle
rougaille|ru.ɡaj.ɡaj
rougir|ʁu.ʒiʁ
rouloir|ʁu.lwaʁ
rousselet|ʁus.lɛ
rouverain|ʁu.tʁɛ̃
rouverin|ʁu.ʁɛ̃
rubéoleuse|ʁy.be.ɔl.løz
rudbeckia|ʁy.
rudbeckie|ʁy.ki
rudiste|ʁy.di.dist
rufflette|ʁy.flɛt
ruinure|ʁɥi.nyʁ
runabout|ʁy.a.bu
runiforme|ʁy.fɔʁm
russologue|ʁy.sɔ.lɔɡ
rutilement|ʁyt.mɑ̃
râtelage|ʁɑ.laʒ
récidivisme|ʁe.si.ti.vism
réciteuse|ʁe.si.tøz
récursoire|ʁe.kyʁ.swaʁ
rédemptoriste|ʁe.ʁist
réductase|ʁe.dyk.taz
réductionniste|ʁe.dyk.sjɔ̃.sjɔ.nist
réescomptable|ʁe.kɔ̃.tabl
réfaction|ʁe.za.sjɔ̃
réflexogramme|ʁe.flɛk.sɔ.ɡʁam
réflexogène|ʁe.flɛk.sɔ.ɛɡ.zɔ.ʒɛn
réimposition|ʁe.ɛ̃.pɔ.zi.sjɔ̃
réincarnationniste|ʁe.ɛ̃.kaʁ.na.sjɔ̃.sjɔ.nist
réincrudation|ʁe.ɛ̃.za.sjɔ̃
réindexation|ʁe.ɛ̃.za.sjɔ̃
réjecteur|ʁe.tœʁ
rélargir|ʁe.ʒiʁ
rémouleuse|ʁe.løz
rénitence|ʁe.tɑ̃s
réoxydation|ʁe.za.sjɔ̃
répétitorat|ʁe.pe.ti.ʁa
réserpine|ʁe.zɛʁ.pin
résolvance|ʁe.zɔl.vɑ̃s
rétamage|ʁe.ta.maʒ
rétractibilité|ʁe.tʁak.bi.li.te
réémission|ʁe.e.mi.sjɔ̃
sabéenne|sa.ɛn
sacramentellement|sa.kʁa.mɑ̃.tɛl.mɑ̃
sacredieu|sakʁ.djø
sadd|su.zad.mi.sibl
sahel|sa.kɛl
saisonnale|sɛ̃.nal
salicoque|sa.li.kɔk
salignon|sa.li.ɲɔ̃
salissement|sa.li.mɑ̃
salonguer|sa.lɔ̃.ɡe
salpingographie|sal.pɛ̃.ɡʁa.fi
saltationnisme|sal.ta.sjɔ̃.sjɔ.nism
samboïste|sɑ̃.ist
sampot|sɑ̃.po
san-benito|sɑ̃.to
sandalière|sɑ̃.ljɛʁ
sanderling|sɑ̃.liŋ
saponase|sa.pɔ.naz
sapristi|sa.pʁɔ.sti
sapropèle|sa.pʁɔ.zi.pɛl
saroual|sa.ʒwal
sassenage|sa.naʒ
satiriquement|sa.ti.ʁik.mɑ̃
sativum|sa.ti.vɔm
satyriasique|sa.ti.zik
saurin|so.ʁɛ̃
savart|sa.vaʁ
sb|be
scheik|
schleichera|ʃlø.ʁa
schlittage|taʒ
schlitteur|tœʁ
schnouf|ʃnɔʁ.ʃnuf
scholie|skɔ.li
schorre|
schupo|ʃus.pus
schwarzienne|zjɛn
scindage|sɛ̃.daʒ
scintillographie|sɛ̃.ti.ɡʁa.fi
scissile|si.sil
sclérifiante|skle.ɑ̃t
sclérotinia|skle.ʁɔ.si.nja
scléterectomie|skle.tɔ.mi
scoriacée|skɔʁ.se
scots|ɔʁ.kɔt
scriban|skʁi.bu.bɑ̃
scyphoméduse|si.me.dyz
sdcard|kaʁ
sea-line|sə.withoutA-Z
secoueur|sə.ku.œʁ
sectoriellement|sɛk.tɔ.ʁjɛl.mɑ̃
seigneuriage|ɲœ.ʁjaʒ
seinomarine|sɛ̃.ma.ʁin
semi-ouvrée|sə.mi.vʁe
senescence|sə.sɑ̃s
sensualisme|sɑ̃.a.lism
septime|sɛp.tim
serapeum|sɛʁ.
serlienne|sɛʁ.ljɛn
serpentement|sɛʁp.mɑ̃
sertraline|sɛʁ.lin
servocommande|sɛʁ.vo.kɔ.mɑ̃d
servodirection|sɛʁ.vo.sjɔ̃
sesquialtère|sɛs.tɛʁ
shafiisme|ʃa.ism
shlag|laɡ
shrapnell|ʃʁap.
shériff|ʃe.ʁif.ʁif
sialique|sja.lik
sidologie|si.de.lɔ.ʒi
sidérocyte|si.de.ʁɔ.sit
sidéroxylon|si.de.ʁɔ.lɔ̃
sifflotante|si.tɑ̃t
silicagel|sil.ʒɛl
siliconose|sil.noz
simaruba|si.mɑ.ba
simonienne|si.mɔ.ni.njɛn
simonisme|si.mɔ.nism
simpliciale|sɛ̃.sjal
sismogenèse|sis.mɔ.ʒə.nɛz
sitone|si.to.tɔn
situationnisme|si.tɥa.sjɔ̃.sjɔ.nism
situ|ka.zi.tɔ.ta.li.te
skarn|skɛt.baʁn
skons|
skuns|skɔ̃s.
slavisante|sla.zɑ̃t
smaragdine|sma.din
smilax|smi.laks
smillage|smi.jaʒ
smorrebrod|smɔʁ.
smurfeuse|smœʁf.føz
snowpark|sno.maʁk
sociatrie|sɔk.me.tʁi
soclage|sɔkl.klaʒ
soirer|swaʁ.ʁe
soman|sɔ.ma.mɑ̃
somatiquement|sɔ.ma.tik.mɑ̃
somatopleure|sɔ.ma.plœʁ
somatotrophine|sɔ.ma.fin
somnambuliquement|sɔm.nɑ̃.by.lik.mɑ̃
sondagière|sɔ̃.ʒjɛʁ
sondologie|sɔ̃.lɔ.ʒi
sonotrode|sɔ.tʁɔd
sonrer|sɔ̃.ʁe
sophorose|sɔ.ʁɔz
sophrologique|so.lɔ.ʒik
sotch|sɔ.tʃe
soucieusement|su.sjøz.mɑ̃
soudière|su.djɛʁ
soufrière|su.ʁjɛʁ
sous-gouverneur|su.nœʁ
souvlaki|su.ki
soûlote|su.lɔt
spacieusement|spa.sjøz.mɑ̃
spammeuse|spa.møz
sparganose|spaʁ.noz
spasmolytique|spas.mɔ.li.tik
spectrogramme|spɛ.ktʁɔ.ɡʁam
spermiducte|spɛʁ.ma.tə
spetsnaz|spɛt.
sphingolipide|sfɛ̃ʒ.li.pid
sphingosine|sfɛ̃ʒ.saɪn
spiramycine|spi.mi.sin
spirille|spi.ʁi.lə
spironolactone|spi.ʁɔ.lak.tɔn
spirorbe|spi.ʁɔ.ɔʁb
spitz|spi.
splanchnologie|splɑ̃k.lɔ.ʒi
splanchnopleure|splɑ̃k.plœʁ
splénectomie|sple.tɔ.mi
spondyle|spɔ̃.di.kɔ̃.dil
spondylose|spɔ̃.di.loz
spongiculture|spɔ̃.kyl.tyʁ
spongille|spɔ̃.ʒil
sporotriche|spɔ.ʁɔ.tʁiʃ
sporotrichose|spɔ.ʁɔ.ʃoz
sporozoïte|spɔ.ʁɔ.it
sprechgesang|sɑ̃
spéculativement|spe.ky.la.tiv.tiv.mɑ̃
squattage|skwa.taʒ
squirrhe|ski.siʁ
stagnance|staɡ.nɑ̃s
stagnationniste|staɡ.na.sjɔ̃.sjɔ.nist
stanneuse|sta.nøz
staphyline|sta.fi.lin
staphylome|sta.fi.lom
stathoudérat|sta.ʁa
stationnale|sta.sjɔ.nal
statiquement|sta.tik.mɑ̃
statokinésimètre|sta.mɛtʁ
statorique|sta.tɔʁ.tɔ.ʁik
statu|sta.ty
stayer|sta.je
steinbock|stɛʁ.bɔk
stelléride|stɛ.ʁid
sternum|stɛʁ.ny.nɔm
stimugène|sti.my.ʒɛn
stockeuse|stɔ.køz
stockfisch|stɔk.a.ʃiʃ
stomoxe|stɔ.ma.dɔks
storax|stɔ.tɔ.ʁaks
stoûpa|stɔ.pa
stricto|stʁik.to
strobilurine|stʁɔ.y.ʁin
strobophotographie|stʁɔ.ɡʁa.fi
strongyle|stʁɔ̃ɡl.til
strongylose|stʁɔ̃ɡl.loz
stylistiquement|sti.li.stik.mɑ̃
stéarique|ste.a.ʁik
stéréospondyle|ste.ʁe.o.kɔ̃.dil
stûpa|st.pa
su.zy.ti.li.ze
subduire|syb.dɥiʁ
subjacente|syb.ʒɛk.ʒa.sɑ̃t
substantivement|syp.stɑ̃.tiv.mɑ̃
subventionneuse|syb.vɑ̃.sjɔ̃.nøz
subéreuse|sy.ʁøz
suffète|sy.pʁe.fɛt
suicidalité|sɥi.li.te
suintine|sɥɛ̃.tin
sui|na.viʁ.y.zin
sukkeler|sy.le
sulfanilamide|syl.fa.a.mid
sulfhydrate|syl.id.ʁat
sulfhydrisme|syl.ʁism
sulfonation|syl.fɔ.za.sjɔ̃
sulfonique|syl.fɔ.nik
sulfonitrique|syl.fɔ.nit.ʁik
sulfonylurée|syl.fɔ.y.ʁe
super-huit|sy.pɛʁ.ɥit
supercarré|sy.pɛʁ.ʁe
supercavitante|sy.pɛʁ.tɑ̃t
supportérisme|sy.pɔʁ.te.ʁism
supranormale|sy.pʁa.na.nɔʁ.mal
supériorat|sy.pe.ʁa
surhumainement|sy.ʁy.mɛn.mɑ̃
surnumérariat|syʁ.ta.ʁja
suspensoïde|sys.pɑ̃.id
swa.sɑ̃.te.ɔ̃z
sweating-system|stɛm
sy.dɛst
sycone|sɛ̃.kɔn
sycosis|sɛ̃.zis
symphyse|sɛ̃.fɔ.fiz
syncrétiste|sɛ̃.kʁe.tist
syncytiale|sɛ̃.sjal
synergique|si.nɛʁ.lɔ.ʒik
synergisme|si.nɛʁ.ʒism
syngamie|sɛ̃.a.miː
syngnathe|sɛ̃.nat
synodique|si.dik
synthase|sɛ̃.te.az
synthème|sɛ̃.te.tɛm
synthétase|sɛ̃.te.tɑz
synthétiquement|sɛ̃.te.tik.mɑ̃
synthétiste|sɛ̃.te.tist
syntype|sɛ̃.tip
syrah|si.ʁa
syringomyélie|si.li
sèchement|sɛʃ.mɑ̃
sécréteuse|se.kʁe.tøz
sécurine|se.ky.ʁi.y.ʁin
séditieusement|se.di.sjøz.mɑ̃
sélacienne|se.la.sjɛn
séleucide|se.lɛk.sid
sélénienne|se.le.njɛn
sémantème|se.mɑ̃.sis.tɛm
sémiométrie|se.mjɔ.me.tʁi
sémitisme|se.tism
sénilisme|se.lism
séparase|se.pa.ʁa.ʁaz
séquentiellement|se.kɑ̃.sjɛl.mɑ̃
sérapéum|se.ʁa.ɔm
séricigraphie|se.ʁi.si.ɡʁa.fi
t'elle|ɛl
t'il|te.il
tabar|ta.ba.baʁ
tabasco|ta.ba.ko
tablar|ta.laʁ
tableautage|tɑbl.taʒ
tachisme|ta.ʃism
tachiste|ta.ʃist
tachistoscope|ta.kɔp
tachyphagie|ta.ki.lɔ.ʒi
tachypnée|ta.ki.ne
tachypsychie|ta.ki.ʃi
tagète|taɡ.ʒɛt
taijiquan|ta.ɑ̃
taiji|ta.ʒi
taleth|ta.lɛt
tallée|ta.le
talochage|ta.ʃaʒ
talonnière|ta.lɔ.njɛʁ
talure|ta.lyʁ
tamile|ta.majl
tamisière|ta.mi.zjɛʁ
tamponnade|tɑ̃.pɔ.nad
taota|ta.o.ta
tarantass|ta.
tararage|ta.ʁaʒ
tardillonne|taʁ.jɔn
tarpéienne|taʁ.jɛn
tarsectomie|taʁs.tɔ.mi
tarsienne|taʁ.sjɛn
tartinade|taʁ.nad
tarzan|taʁ.d͡zɑ̃
tassili|tɑ.li
tautochrone|to.kʁɔn
taxodium|tak.djɔm
taylorienne|tɛ.lɔ.ʁjɛn
taël|ta.ɛl
taïchichuan|taj.ɑ̃
taïchi|taj.ki
taôiste|ta.nist
tchadanthrope|tʃa.tʁɔp
tcharchaf|tʃa.
tchatteuse|tʃa.tøz
tchernoziom|tʃa.
tchitola|tʃa.la
tchérémisse|tʃe.mis
technicolor|tɛk.ni.kɔ.lɔʁ
technopathe|tɛk.no.pat
tecker|tɛk.ke
tellière|te.ljɛʁ
tellureuse|tɛl.ʁøz
tembotrione|tɑ̃.ɔn
tempera|tɑ̃p.ʁa
tenrecidé|tɑ̃.ʁɛk.de
tensionneur|tɑ̃.sjɔ̃.nœʁ
tenson|tɑ̃.sɔ̃
teocali|tə.li
teocalli|tə.li
teppanyaki|tɛp.ki
tergite|tɛʁ.ʒi.ʒit
terminographie|tɛʁ.mi.nɔ.ɡʁa.fi
terpine|tɛʁ.pin
terpinol|tɛʁ.nɔl
terpinéol|tɛʁ.ʃe.ɔl
terrafungine|tɛ.ʁa.ʒin
terraplane|tɛ.plan
terre-neuvas|tɛʁ.
tervueren|tɛʁ.ɑ̃
testable|tɛs.stabl
thalamus|ta.la.la
thanatopraxie|ta.na.pʁak.si
thari|ta.ʁi
thermisteur|tɛʁ.mi.tœʁ
thermistor|tɛʁ.mi.tɔʁ
thermoplongeur|tɛʁ.mɔ.ʒœʁ
thesmothète|tɛʁ.mɔ.tɛt
thiazine|tja.a.zin
thiocarbonate|kaʁ.bɔ.nat
thiocyanate|sja.nat
thioestérase|ɛs.te.ʁaz
thiosulfate|tjo.syl.fat
thirame|tɛʁ.ʁam
thlaspi|tɛʁ.spi
tholoi|to.lwa
thridace|tʁips.das
thriller|tʁips.je
thuyone|ty.jɔn
thyade|ti.jad
thylakoïde|ti.id
thylle|ti.fil
thyllose|ti.loz
thyratron|ti.tʁɔ̃
thyroglobuline|ti.ʁɔ.ɡlɔ.by.lin
thyrotrophine|ti.ʁɔ.fin
thyroxine|ti.ʁɔ.tɔk.sin
thyréotoxicose|ti.ʁeɔ.tɔk.si.ko.oz
thyréotoxique|ti.ʁeɔ.tɔk.sik
th|te.aʃ
théatralisme|te.a.lism
théodosienne|te.ɔ.sjɛn
théologiquement|te.ɔ.lɔ.ʒik.mɑ̃
théorématique|te.ɔ.ma.tik
théralite|te.ʁa.lit
théridion|te.djɔ̃
thériodonte|te.dɔ̃t
théropode|te.pɔd
théropsidé|te.de
thésauriseuse|te.ʁi.zøz
tiercéiste|tjɛʁ.se.ist
tiers-mondisme|tjɛʁ.dism
tigette|tiʒ.ʒɛt
tillandsie|ti.zi
timbre-amende|tɛ̃.a.mɑ̃d
timbre-quittance|tɛ̃.ki.tɑ̃s
timbres-quittances|tɛ̃bʁ.
tistre|ti.mɛtʁ
tiʁ.bʁɛz
toarcienne|tɔ.sjɛn
tof|kɑ̃.di.ʁa.tɔ̃
tokai|tɔ.
tokharienne|to.a.ʁjɛn
toluol|ly.
tolu|tɔ.ly
tomawak|tɔ.wak
tommy|tɔ.mi
tonification|tɔ̃.fi.ka.sjɔ̃
tonofibrille|to.fi.bʁil
topologiquement|tɔ.pɔ.lɔ.ʒik.mɑ̃
toquade|tɔ.nad
torah|tɔʁ.ʁa
torball|tɔʁ.bol
torchette|tɔʁʃ.ʃɛt
toreutique|tɔʁ.tik
tortis|tɔʁ.ti
tortricidé|tɔʁ.de
touarègue|tu.lɛɡ
toulonnaise|tu.nɛz
toupilleuse|tu.pi.pi.jøz
touselle|tu.sɛl
toussoteuse|tu.tøz
touvaine|tu.vɛn
toxicodermie|tɔk.si.ko.tɛʁ.mi
toxinique|tɔk.sin.i.nik
toxémique|tɔk.si.mik
trachéole|tʁak.ɔl
tractus|tʁakt.tys
tradescantia|tʁɛd.
trad|tʁɑ̃s.ʁad
traitance|tʁɛ.tɑ̃s
tramadol|tʁa.dɔl
tramping|tʁɑ̃p.piŋɡ
tramète|tʁam.ɡa.mɛt
transcriptase|tʁɑ̃s.kʁip.taz
transect|tʁɑ̃s.pɛ
transenne|tʁɑ̃s.sɛn
transférase|tʁɑ̃s.fe.ʁaz
transhumante|tʁɑ̃s.mɑ̃t
transilienne|tʁɑ̃s.bʁe.zi.ljɛn
transpadane|tʁɑ̃s.pa.dan
transvestisme|tʁɑ̃s.tism
trappeuse|tʁap.pøz
trappistine|tʁa.tin
travelling|tʁa.liŋ
treizièmement|tʁɛ.zjɛm.mɑ̃
tremblotte|tʁɑ̃.lɔt
tremens|tʁɑ̃.mɛ̃s
trench-coat|tʁɑ̃t.fəl.kot
trench|tʁɑ̃t.fʁɛntʃ
tresseuse|tʁɛs.søz
triallate|tʁial.lat
triamcinolone|tʁi.lɔn
tribart|tʁi.baʁ
triboulet|tʁi.lɛ
tributylphosphate|tʁi.by.fɔs.fat
trichomonase|tʁi.kɔ.naz
trichomonas|tʁi.kɔ.nas
trichroïque|tʁi.kʁɔ.ik
trichroïsme|tʁi.ism
tricouni|tʁi.ni
trimballement|tʁɛ̃.mɑ̃
trimurti|tʁi.ti
trinervée|tʁin.ve
trinitrobenzène|tʁi.ni.bɛ̃.zɛn
trinquart|tʁɛ̃.kaʁ
triomphaliste|tʁi.jɔ̃.list
triongulin|tʁi.jo.lɛ̃
trioxane|tʁi.jo.zan
tripang|tʁi.pɑ̃
triphasique|tʁi.fa.zik
tripodie|tʁi.di
trochet|tʁɔʃ.ʃɛ
trochin|tʁɔ.ʃɛ̃
tronculaire|tʁɔ̃.ky.lɛʁ
trophomicrobienne|tʁɔ.fɔ.mi.kʁɔ.bjɛn
truandaille|tʁy.dɑj
truble|tʁy.lybl
trudgeon|tʁy.ʒɔ̃
trullo|tʁy.lo
trypsine|tʁi.saɪn
tryptamine|tʁip.a.min
tr|te.te
tréhalase|tʁe.laz
trélingage|tʁe.ɡaʒ
tuberculide|tyb.lid
tubicole|ty.kɔl
tubipore|ty.pɔʁ
tubuleuse|tybyl.løz
tubulée|tœb.by.le
tularémie|ty.mi
tumorothèque|ty.mɔ.tɛk
tupinambis|tu.bi
turbellarié|tyʁb.tje
turbiditique|tyʁ.bi.di.tik
turbith|tyʁ.aʃ
turbocompressée|tyʁ.bo.pʁɛ.se
turnep|tœʁ.
turonienne|tyʁ.njɛn
turpidement|tyʁ.pid.mɑ̃
turquette|tyʁk.kɛt
turritelle|tyʁ.tɛl
tutsie|ty.tsi
tutti|ty.ti
tuvaluane|man
tuyauteuse|tɥi.jo.tøz
twirling|liŋ
typhacée|ti.fa.se
typification|ti.fi.ka.sjɔ̃
tyrosinase|ti.ʁɔ.naz
télencéphale|te.se.fal
