abandonnisme|a.bɑ̃.dɔ̃.nism
naphtol|naf.ta.tɔl
nargueuse|naʁɡ.ɡøz
navalisation|na.li.za.sjɔ̃
naviplane|na.vi.plan
navrance|na.ʁɑ̃s
navrure|na.vʁyʁ
naïadacée|na.se
nervosisme|nɛʁ.zism
nescafé|nø.li.te
netiquette|ne.twa.kɛt
neuraminidase|nø.ʁɔ.daz
neuraminique|nø.ʁɔ.i.nik
neuroblaste|nø.ʁɔ.blast
neuroblastome|nø.ʁɔ.tɔm
neuroplégique|nø.ʁɔ.lɔ.ʒik
neurotensine|nø.ʁɔ.sin
newsmagazine|njuz.ma.ɡa.zin
nictitante|nik.tɑ̃t
niellage|njɛ.jaʒ
nilvariété|nil.va.ʁje.te
niobate|njɔ.bat
niobite|njɔ.bit
niqueuse|nik.køz
nitrifiante|ni.tʁi.fjɑ̃t
nitrocellulose|ni.se.ly.lɔz
nivaquiner|ni.ne
noblaillonne|nɔ.jɔn
nobo|nɔ.bo
nobscuriter|nɔ.te
noethérienne|ʁjɛn
nomenklaturiste|no.ʁist
non-alignée|nɔ̃.ne
non-droit|nɔ̃.dʁwa
noncer|nɔ̃.se
noosphérique|no.sfe.ʁik
normoblaste|nɔʁ.blast
nosophobie|nɔ.zɔ.fɔ.bi
nucléolyse|ny.kle.liz
nummulite|ny.my.lit
nyctaginacée|nik.ta.se
nævocarcinome|kaʁ.si.nom
négrerie|ne.ʁi
némathelminthe|ne.ma.ɛl.mɛ̃t
nématoblaste|ne.ma.blast
nématocère|ne.ma.sɛʁ
néocomienne|ne.ɔ.mjɛn
néolamarckisme|ne.o.kism
néosynéphrine|fʁin
néphritique|ne.tik
néphroangiosclérose|ne.skle.ʁoz
névrodermite|ne.vʁɔ.dɛʁ.mit
oaï|ɔ.a.i
objecteur|ɔb.ʒɛk.tœʁ
obsessivement|ɔp.sɛʁ.mɑ̃
obsolescente|ɔp.sɔ.lɛ.sɑ̃t
obviation|ɔb.za.sjɔ̃
obédiencier|ɔ.be.sje
obélie|ɔ.li
occasionnaliste|ɔ.ka.zjɔ.list
octalogie|ɔk.ta.lɔ.ʒi
octanoïque|ɔ.tɑ̃.ik
octodon|ɔk.tɔ.dɔ̃
odontalgie|ɔ.dɔ̃.tɔ.lɔ.ʒi
odontalgique|ɔ.dɔ̃.tɔ.al.ʒik
odontoblaste|ɔ.dɔ̃.tɔ.blast
ofbizextra|ɛks.tʁa
oiseaux-soleils|wa.zo.withoutA-Z
oldowayenne|jɛn
oligandrine|ɔ.li.dʁin
oligo-galacturonate|ɔ.li.ɡɔ.nat
oligodendrogliome|ɔ.li.ɡɔ.ɡli.joːm
oligogalacturonate|ɔ.li.ɡɔ.nat
oligothérapie|ɔ.li.ɡɔ.te.ʁa.pi
oligozoospermie|ɔ.li.ɡɔ.tɛʁ.mi
olivaison|ɔ.li.zɔ̃
ollas-podridas|ɔ.
oléfiante|ɔ.le.ɑ̃t
oléohydraulique|ɔ.le.i.dʁo.lik
oléopneumatique|ɔ.le.ma.tik
oléosome|ɔ.le.zɔm
oléum|ɔ.le.ɔm
ombrophile|ɔ̃.fil
omnipraticienne|ɔm.ni.pʁa.ti.sjɛn
omnipuissante|ɔm.ni.pɥi.sɑ̃t
omphacite|ɔ̃.fa.sit
oncogenèse|ɔ̃.kɔ.ʒə.nɛz
oniriquement|ɔ.ni.ʁik.mɑ̃
onkotique|tik
oolitique|o.tik
oomycète|o.mi.sɛt
opalisation|ɔ.pa.li.za.sjɔ̃
opisthobranche|ɔ.pis.bʁɑ̃ʃ
opsonique|ɔp.sɔ.nik
opéras-bouffes|ɔ.pe.ʁa.ʃɛf
orbitofrontale|ɔʁ.bi.fʁɔ̃.tal
orchestie|ɔʁ.kɛs.ti
ordovicienne|ɔʁ.dɔ.ti.sjɛn
organisationnellement|ɔʁ.ɡa.ni.za.sjɔ̃.mɑ̃
organomagnésienne|ɔʁ.ɡa.nɔ.sjɛn
org|ɔʁ.ɡa
orientement|ɔ.ʁjɑ̃.mɑ̃
ornithischien|ɔʁ.ni.ʃjɛ̃
ornithogale|ɔʁ.ni.ɡal
orobe|ɔ.fɔb
oropharynx|ɔ.ʁɔ.
orthophonique|ɔʁ.to.fɔ.nik
orthoprothésiste|ɔʁ.to.pʁɔ.te.zist
osmoprotecteur|ɔs.tœʁ
osmotrophe|ɔs.tʁɔf
ossiculoplastie|ɔ.plas.ti
osso-buco|ɔ.ko
ostéichtyen|ɔs.jɛn
ostéocyte|ɔst.sit
ostéogénie|ɔs.ʒe.ni
ostéoplastie|ɔst.plas.ti
ostéopontine|ɔs.tin
ostéotomie|ɔst.tɔ.mi
otospongiose|ɔ.tɔ.oz
ourdisserie|uʁ.di.ʁi
ourleuse|uʁ.løz
ourlienne|uʁ.ljɛn
outilleuse|u.ti.jøz
outrigger|u.ɡe
ouvre-gants|u.
ovariohystérectomie|ɔ.va.tɔ.mi
ovarite|ɔ.va.ʁit
ovigène|ɔ.vi.ʒɛn
oviné|ɔ.vɛ̃.li.te
ovoproduit|ɔ.vɔ.pʁɔ.dɥi
oxazine|ɔk.sa.a.zin
oxycarbonée|ɔk.si.kaʁ.bɔ.ne
oxydimétrie|ɔk.si.me.tʁi
oxydoréductase|ɔk.si.dɔ.taz
oxyologie|ɔk.si.lɔ.ʒi
ozonation|o.zo.za.sjɔ̃
oz|ɔ.
pace-maker|peɪs.kœʁ
pacfung|pa.tuŋ
pagodon|pa.dɔ̃
paidologie|pa.lɔ.ʒi
pailletage|pa.taʒ
paillet|pɑj.jɛ
palabreuse|pa.labʁ.bʁøz
palatinat|pa.la.na
palato-glosse|pa.la.ɡlɔs
palefrenière|pal.njɛʁ
palicinésie|pal.zi
pallasite|la.sit
palmacée|pal.se
palmatiséquée|pal.ma.ke
palpitement|pal.pi.mɑ̃
paléothérium|pa.ʁjɔm
panacher|pa.ʃe
panhypopituitarisme|ta.ʁism
panniculite|pa.lit
panorpe|pa.nɔ.ʁa.kaʁp
pantouflière|pɑ̃.ɛʁ
papaver|pa.pa.pa.ve
papavéracée|pa.pa.se
papillomatose|pa.pi.ma.toz
papillonnement|pa.pi.jɔ.mɑ̃
papoteuse|pa.pɔ.tøz
paqueteuse|pak.tøz
parabiose|pa.ʁa.bjoz
parachronisme|pa.ʁa.nism
parachutale|pa.ʁa.tal
paraguante|pa.ʁa.ɑ̃t
parahydroxybenzoïque|bɛ̃.zɔik
paramédic|pa.ʁa.dik
paraphrénie|pa.ʁa.ni
parasélène|pa.ʁa.lɛn
paraxiale|pa.ʁa.ak.sjal
parcheminerie|paʁk.ʁi
parcheminière|paʁk.mi.njɛʁ
parfondre|paʁ.fɔ̃dʁ
paridigitidée|pa.ʁi.de
parkinsonisme|paʁ.nism
parodontolyse|pa.ʁɔ.dɔ̃.liz
parodontose|pa.ʁɔ.dɔ̃.toz
parotidienne|pa.ti.djɛn
paroxysmale|pa.ʁɔk.al
parqueteuse|paʁ.kə.tøz
partoche|paʁ.tɔʃ
passacaille|pa.kɑj
passavant|pa.a.vɑ̃
passette|pas.sɛt
pataugeage|pa.to.ʒaʒ
pataugement|pa.to.mɑ̃
patentage|pa.taʒ
pathomimie|pa.tɔ.ʃi.mi
pathosystème|pa.tɔ.sis.tɛm
patouillage|pa.jaʒ
patriciale|pat.ʁi.sjal
paulienne|pɔ.ljɛn
pavimenteuse|pa.vi.mɑ̃.tøz
paysannat|pɛ.i.na
peccante|pe.ɑ̃t
peignage|pɛʁ.naʒ
peinturlurage|pɛ̃.ʁaʒ
pelanage|pə.naʒ
pelletisation|pɛl.li.za.sjɔ̃
peléenne|pɛl.le.ɛn
pemmican|e.kɑ̃
pemphigoïde|e.id
pentacrine|pɛ̃.ta.ta.ka.ʁin
pentakidodécaèdre|pɛ̃.ta.de.ka.ɛdʁ
pentamidine|pɛ̃.ta.din
pentapole|pɛ̃.ta.pɔl
pentastomide|pɛ̃.ta.mid
pentaérythritol|pɛ̃.ta.tɔl
pentitol|pɛ̃.tɔl
pentosane|pɛ̃.zan
penty|pɛ̃.ti
perceptionnisme|pɛʁ.sjɔ.nism
percevable|pɛʁ.abl
perchloréthylène|pɛʁ.klɔ.e.ti.lɛn
perforelieuse|pɛʁf.ʁə.ljøz
perlinguale|pɛʁ.lɛ̃.ɡwal
perlitique|pɛʁ.tik
permacirculaire|pɛʁ.ma.kyl.siʁ.ky.lɛʁ
permanencière|pɛʁ.ma.sjɛʁ
permutante|pɛʁ.my.my.tɑ̃t
persulfurée|pɛʁ.syl.y.ʁe
perthite|pɛʁ.tit
pervibrage|pɛʁ.vi.vi.bʁaʒ
pessière|si.sjɛʁ
petit-boutiste|pə.tist
peuton|pɛʁ.tɔ̃
pfaffienne|fjɛn
phallotoxine|fa.lɔ.tɔk.sin
phalloïdine|fa.lɔ.din
phelloderme|fe.dɛʁm
phencyclidine|din
phlébothrombose|fle.bɔ.tʁɔ̃.bɔz
phoma|fi.ma
phonocaptrice|fɔ.no.tʁis
phonolite|fɔ.nɔ.lit
phosphatidylcholine|fɔs.fa.kɔ.lin
phosphatidylsérine|fɔs.fa.se.ʁin
phosphatidyléthanolamine|fɔs.fa.e.ta.nɔl.a.min
phosphorylase|fɔs.fɔ.laz
phosphorémie|fɔs.fɔ.mi
photochromisme|fo.to.mism
photopique|fo.to.pik
photostéréosynthèse|fɔ.tɔ.sɛ̃.tɛz
phot|fi.ʃo
phraseuse|fʁɑz.zøz
phrygane|fʁi.ɡan
phyllite|fi.lit
physiatrie|fi.me.tʁi
phytophthora|fi.tɔ.tɔ.ʁa
ph|pa.
phénacétine|fe.tin
phénocopie|fe.nɔ.pi
phénylbutazone|fe.nil.zon
phéochromocytome|fe.tɔm
phœniciculture|kyl.tyʁ
piaculaire|pja.ky.lɛʁ
piccalilli|pi.ji
picklage|pik.laʒ
pierrage|pjɛ.ʁaʒ
piluler|pi.lyl.le
pimer|pɛ̃.mɛʁ
pincharde|pɛ̃.aʁd
piochage|pjɔʃ.ʃaʒ
pipetage|pi.taʒ
piroguière|pi.ɡjɛʁ
pirole|pi.ʁɔl
piroplasmose|pi.plas
pissement|pis.mɑ̃
pistillée|pis.til.je
pitaude|pi.ta.tɔd
pixellisation|pik.sɛl.li.za.sjɔ̃
pizzaiolo|pid.lo
piétin|pje.tɛ̃
piézorésistive|pje.zɔ.ʁe.zis.tiv
planipenne|plɑ̃.pɛn
planiste|pla.nist
plantaginacée|plɑ̃.se
planétésimale|plɑ̃.mal
plastifieuse|plas.ti.ma.fjøz
platinocyanure|pla.ti.sja.nyʁ
play-list|plɛ.list
plecquer|plɛktʁ.ke
pleurectomie|plœʁ.tɔ.mi
pleuronectiforme|plø.fɔʁm
plissage|pli.saʒ
plumasserie|ply.ma.ʁi
pluridimensionnalité|ply.ʁi.di.li.te
plurisousharmonique|ply.ʁi.nik
plurispécifique|ply.ʁi.spe.si.fik
pneumallergène|pnø.ma.al.lɛʁ.ʒɛn
pneumatothérapie|pnø.ma.te.ʁa.pi
pneumectomie|pnø.mɔ.tɔ.mi
pneumomédiastin|pnø.mɔ.me.djas.tɛ̃
pneumonectomie|pnø.mɔ.tɔ.mi
pneumopéritoine|pnø.mɔ.pe.ʁi.twan
podologique|pɔ.dɔ.lɔ.ʒik
poljé|pus.li.te
polluposteuse|pɔ.tøz
polychlorobenzène|pɔ.li.bɛ̃.zɛn
polyembryonie|pɔ.li.ni
polyglobulie|pɔ.li.li
polyimide|pɔ.li.mid
polyméthylpentène|pɔ.li.me.tɛn
polyoxyméthylène|pɔ.li.me.ti.lɛn
polyploïde|pɔ.li.id
polypnée|pus.ne
polyptyque|pɔ.li.tik
polyradiculonévrite|pɔ.li.ne.vʁit
polythène|pɔ.li.stɛn
polytétrafluoroéthylène|e.ti.lɛn
polyvinylbutyral|pɔ.li.vi.
polyédrale|pɔ.li.dʁal
polémarque|pɔ.le.maʁk
ponantaise|pɔ.nɑ̃.ɛz
pontuseau|pɔ̃.o
porphyra|pɔʁ.fi.ʁa
porpite|pɔʁ.fi.pit
porrection|pɔ.za.sjɔ̃
portlandien|pɔʁ.lɑ̃d.djɛ̃
postformée|pɔst.me
potencée|pɔ.se
poteur|pɔt.tœʁ
potomètre|po.mɛtʁ
poudrin|pu.dʁi.dʁɛ̃
pourchasseuse|puʁ.ʃa.ʃa.søz
poursuiveuse|puʁ.sɥi.vøz
poya|pus.ja
poétisme|pɔe.ti.tism
poïkilocytose|pɔ.i.tɔz
ppq|pa
pp|pa.
praguoise|pʁaɡ.kwaz
praxéologique|pʁak.se.lɔ.ʒik
prima-donna|pʁi.ma.na
primage|pʁi.ma.i.maʒ
primulacée|pʁi.se
principautaire|pʁɛ̃.si.tɛʁ
priorat|pʁi.jɔ.ʁi.ʁa
privatique|pʁi.va.tik
probénécide|pʁɔ.sid
procordé|pʁɔ.de
proctorrhée|pʁɔk.ʁe
productique|pʁɔd.tik
profitante|pʁɔf.tɑ̃t
programmable|pʁɔ.ɡʁa.ma.abl
progénote|pʁɔ.ʒe.nɔt
propagule|pʁɔ.pa.ɡyl
propanal|pʁɔ.pa.nal
propanier|pʁɔ.pa.nje
propanol|pʁɔ.pa.ta.nɔl
propanoïque|pʁɔ.pa.ik
propective|pʁɔ.tiv
propranolol|pʁɔ.lɔl
propylée|pʁɔ.le
propyne|pʁɔ.
prosobranche|pʁɔ.bʁɑ̃ʃ
prosopagnosique|pʁɔ.zik
protamine|pʁɔ.a.min
prothioconazole|pʁɔ.a.zɔl
prothrombine|pʁɔ.tʁɔ̃.bin
protéinogène|pʁɔ.te.ʒɛn
protéinémie|pʁɔ.te.mi
protéoglycane|pʁɔ.te.kan
provection|pʁɔ.za.sjɔ̃
provençalisme|pʁɔ.a.lism
provignement|pʁɔ.vi.mɑ̃
provisorat|pʁɔ.vi.ʁa
prudhommale|pʁy.mal
prâkrit|pʁe.kʁit
préceinte|pʁe.sɛ̃t
précipitable|pʁe.si.pi.tɑbl
prédictrice|pʁe.dik.tʁis
prédiffusée|pʁe.di.ze
prédiviseur|pʁe.di.vi.zœʁ
préfab|pʁe.
prémontrée|pʁe.tʁe
prérégulateur|pʁe.ʁe.tœʁ
présélecteur|pʁe.se.tœʁ
prétensionneur|pʁe.nœʁ
prétentaine|pʁe.tɑ̃.tɛn
préteuse|pʁe.tøz
psammophyte|psal.fit
pseudolangrayen|psø.do.jɛ̃
psilotum|psi.tɔm
psoralène|lɛn
psoriasique|zik
ptoléméenne|ptɔ.me.ɛn
ptyalisme|ptja.a.lism
pudendale|py.dal
pullorose|pyl.ʁɔz
pulmoné|pyl.mɔ.li.te
pulsomètre|pyl.mɛtʁ
puna|py.na
puncheuse|pœntʃ.ʃøz
punkette|pœŋk.kɛt
pupaison|pu.zɔ̃
purgeur|pyʁʒ.ʒœʁ
puvathérapie|te.ʁa.pi
puérilisme|pɥe.lism
px|pa.
pycnotique|pik.tik
pygmalionisme|piɡ.me.nism
pyorrhée|pi.ʁe
pyralène|pi.ʁa.lɛn
pyrocorise|pi.ʁɔ.pʁiz
pyroxylée|pi.ʁɔk.ksi.le
pyroxénite|pi.ʁɔk.nit
pyruvate|pi.vat
pyrétothérapie|pi.ʁe.te.ʁa.pi
pyurie|pi.ʁi
pz|pa.
pédobaptisme|pe.do.ba.tism
pédoflore|pe.do.flɔʁ
pékan|pe.kɑ̃
pélargonium|pe.la.njɔm
pénicillinase|pe.ni.si.naz
pénicillinorésistante|pe.ni.si.ʁe.zis.tɑ̃t
pénitence|pe.ni.tɑ̃s
pénitentiale|pe.ni.sjal
pépiante|pe.ɑ̃t
péquenotte|pek.nɔt
péribole|pe.ʁi.bɔl
péripatétisme|pe.ʁi.tism
pérylène|pe.ʁi.lɛn
pétrarquiste|pe.tʁaʁ.kist
pétrir|pe.tʁiʁ
pétrogenèse|pe.tʁɔ.ʒə.nɛz
pétulante|pe.ɑ̃t
pœcilitique|pe.tik
pœcilogynie|pe.ni
pœcilothermie|pe.tɛʁ.mi
qanat|ka.na
qbit|ka.bit
quadribande|kwad.bɑ̃d
quadrifide|kwad.fid
quadrivecteur|kwa.tœʁ
quaiche|ke.wɛʃ
quartolet|kaʁ.tɔ.lɛ
quaterne|ka.tʁə.vɛ̃.tɛʁn
queuillère|kø.jɛʁ
quillette|kij.jɛt
quilleuse|kij.jøz
quipu|ki.py
quirite|kɛ̃.ʁit
quizalofop|kɛ̃.
rabaissante|ʁa.sɑ̃t
rabibochage|ʁa.ʃaʒ
rabrouement|ʁa.mɑ̃
rabroueuse|ʁa.køz
rabâcheuse|ʁa.bɑ.ʃøz
raccrocheuse|ʁa.kʁɔ.ʁɔ.ʃøz
rachetable|ʁaʃ.tɑbl
racheteuse|ʁaʃ.tøz
rachialgie|ʁa.lɔ.ʒi
racketiciel|ʁa.kɛt.sjɛl
racketteuse|ʁa.kɛt.tøz
radiculalgie|ʁa.lɔ.ʒi
radiculite|ʁad.lit
radiodiffuseur|ʁa.djo.zœʁ
radiolarite|ʁa.ʁit
radionavigante|ʁa.djo.ɑ̃t
radique|ʁad.dik
radjah|ʁad.dʒa
radja|ʁad.dʒa
raffinose|ʁa.fi.noz
rafflésie|ʁa.zi
rag-time|ʁa.tim
rajeunir|ʁa.y.niʁ
rallongement|ʁa.lɔ̃ʒ.mɑ̃
ramander|ʁa.de
rameter|ʁa.te
rangeuse|rɑ̃.ʒøz
rapipoter|ʁa.te
rapiéçage|ʁa.saʒ
rassasiement|ʁa.mɑ̃
ratatinement|ʁa.ta.mɑ̃
rattachisme|ʁa.ʃism
raturage|ʁa.ʁaʒ
rauwolfia|ʁo.fja
ravoirage|ʁa.ʁaʒ
rayonnisme|ʁɛ.jɔ̃.nism
rebmane|ʁə.man
recasquante|ʁə.ɑ̃t
recensable|ʁə.sɑ̃.sabl
reclassification|ʁə.za.sjɔ̃
recognition|ʁə.kɔ̃.za.sjɔ̃
recollement|ʁǝ.kɔ.mɑ̃
reconnexion|ʁə.kɔ.sjɔ̃
recordage|ʁə.kɔʁ.daʒ
recorder|ʁə.kɔʁ.kɔʁ.de
recrudescente|ʁə.kʁy.de.sɑ̃t
rectoscope|ʁɛk.tɔ.kɔp
rectosigmoïdienne|ʁɛk.tɔ.id
rectosigmoïdoscopie|ʁɛk.tɔ.sko.pi
reculement|ʁə.kyl.mɑ̃
recycleuse|ʁə.si.kløz
recâblage|ʁə.blaʒ
redondée|ʁə.dɔ̃.de
redénomination|ʁə.de.za.sjɔ̃
refermement|ʁə.fɛʁ.mɑ̃
refuznik|ʁə.nik
reginglard|ʁə.laʁ
regrèvement|ʁə.mɑ̃
rehaussement|ʁə.os.mɑ̃
rehausseur|ʁə.sœʁ
relampage|ʁə.paʒ
relanceuse|ʁə.lɑ̃s.søz
relaxologie|ʁə.lak.lɔ.ʒi
relevance|ʁə.vɑ̃s
releveuse|ʁlə.vøz
reliage|ʁə.ljaʒ
rembuchement|ʁɑ̃.mɑ̃
remettante|ʁə.tɑ̃t
remisier|ʁə.zje
remmouleur|ʁɛm.lœʁ
renarder|ʁə.de
renardière|ʁə.djɛʁ
renardée|ʁə.de
renforçante|ʁɑ̃.fɔʁ.ɑ̃t
renforçatrice|ʁɑ̃.fɔʁ.tʁis
reniflage|ʁə.flaʒ
rentraiture|ʁɑ̃.tyʁ
repercer|ʁǝ.pɛʁ.se
reperçage|ʁǝ.saʒ
repoussement|ʁə.pu.mɑ̃
reprogrammable|ʁə.pʁɔ.abl
resarcelée|ʁə.sa.le
rescindante|ʁɛ.ɑ̃t
rescription|ʁəs.za.sjɔ̃
respiritualisation|ʁɛs.pi.li.za.sjɔ̃
ressaisissement|ʁə.sɛ.mɑ̃
ressasseuse|ʁə.sa.søz
ressuyer|ʁɛ.je
resuffixation|ʁə.za.sjɔ̃
resurgissement|ʁə.syʁ.mɑ̃
retapage|ʁə.ta.paʒ
retissage|ʁə.ti.saʒ
retondre|ʁə.tɔ̃dʁ
retourneuse|ʁə.tuʁ.nøz
retraitante|ʁə.tɑ̃t
retroussement|ʁə.mɑ̃
reverdissement|ʁə.vɛʁ.mɑ̃
rhabdomyosarcome|ʁab.dɔ.saʁ.kom
rhamnolipide|ʁam.li.pid
rhino-pharyngienne|ʁi.nɔ.ʒjɛ̃n
rhizobium|ʁi.zɔ.bjɔm
rhizocarpée|ʁi.zɔ.pe
rhizoflagellé|ʁi.zɔ.le
rhizophore|ʁi.zɔ.fɔʁ
rhizopode|ʁi.zɔ.pɔd
rhizostome|ʁi.zɔ.tɔm
rhizotomie|ʁi.zɔ.tɔ.mi
rhomboèdre|ʁɔ̃.bɔ.ɛdʁ
rhynchocéphale|ʁɛ̃.se.fal
rhynchote|ʁɛ̃.ʃɔt
rhytidome|ʁi.dɔm
rhéogramme|ʁe.ɔ.ɡʁam
rhéologue|ʁe.ɔ.lɔɡ
rhéotaxie|ʁe.ɔ.tak.si
rhéotrope|ʁe.ɔ.tʁɔp
rhéotropisme|ʁe.ɔ.tʁɔ.pism
rhétoriqueur|ʁe.tɔ.kœʁ
rickettsiose|ʁi.oz
rigolote|ʁi.ɡɔ.lo.lɔt
ringardage|ʁiŋ.daʒ
riveraineté|ʁiv.ʁen.te
rocailleur|ʁɔ.lœʁ
rohart|ʁɔ.aʁ
rolandique|ʁɔ.dik
ronflette|ʁɔ̃.flɛt
rosacée|ʁɔ.se
rotruenge|ʁɔt.taʒ
rottweiller|ʁɔt.je
rotulage|ʁɔ.laʒ
rouennière|ʁu.njɛʁ
roufler|ʁufl.fle
rougaille|ru.ɡaj.ɡaj
rougir|ʁu.ʒiʁ
rouloir|ʁu.lwaʁ
rousselet|ʁus.lɛ
rouverain|ʁu.tʁɛ̃
rouverin|ʁu.ʁɛ̃
rubéoleuse|ʁy.be.ɔl.løz
rudbeckia|ʁy.
rudbeckie|ʁy.ki
rudiste|ʁy.di.dist
rufflette|ʁy.flɛt
ruinure|ʁɥi.nyʁ
runabout|ʁy.a.bu
runiforme|ʁy.fɔʁm
russologue|ʁy.sɔ.lɔɡ
rutacée|ʁy.se
rutilement|ʁyt.mɑ̃
râtelage|ʁɑ.tə.laʒ
réarmable|ʁe.aʁ.abl
récidivisme|ʁe.si.ti.vism
réciteuse|ʁe.si.tøz
récoltable|ʁe.tɑbl
récursoire|ʁe.kyʁ.swaʁ
rédemptoriste|ʁe.ʁist
réductase|ʁe.dyk.taz
réductionniste|ʁe.dyk.sjɔ̃.sjɔ.nist
réenchantement|ʁe.ɑ̃.mɑ̃
réendettement|ʁe.ɑ̃.mɑ̃
réescomptable|ʁe.kɔ̃.tabl
réfaction|ʁe.za.sjɔ̃
réflectomètre|ʁe.flɛk.mɛtʁ
réflexibilité|ʁe.flɛk.bi.li.te
réflexogramme|ʁe.flɛk.sɔ.ɡʁam
réflexogène|ʁe.flɛk.sɔ.ʒɛn
réglante|ʁe.ɑ̃t
réimperméabilisation|ʁe.ɛ̃.li.za.sjɔ̃
réimposition|ʁe.ɛ̃.za.sjɔ̃
réincarnationniste|ʁe.ɛ̃.kaʁ.na.sjɔ̃.sjɔ.nist
réincrudation|ʁe.ɛ̃.za.sjɔ̃
réincruder|ʁe.ɛ̃.de
réindexation|ʁe.ɛ̃.za.sjɔ̃
réjecteur|ʁe.tœʁ
rélargir|ʁe.ʒiʁ
rémouleuse|ʁe.løz
rénitence|ʁe.tɑ̃s
rénovasculaire|ʁe.nɔ.vas.ky.lɛʁ
réoxydation|ʁe.za.sjɔ̃
répartement|ʁe.mɑ̃
répétitorat|ʁe.pe.ti.ʁa
réserpine|ʁe.zɛʁ.pin
résiliable|ʁe.zi.abl
résolvance|ʁe.zɔ.vɑ̃s
résolvante|ʁe.zɔ.ɑ̃t
résonateur|ʁe.tœʁ
résonatrice|ʁe.tʁis
rétamage|ʁe.ta.maʒ
rétractibilité|ʁe.tʁak.bi.li.te
rétractrice|ʁe.tʁak.tʁis
réémission|ʁe.e.mi.sjɔ̃
sabéenne|sa.ɛn
sadd|sa.
sahel|sa.kɛl
saisonnale|sɛ.zɔ.nal
salarisation|sa.la.li.za.sjɔ̃
salicoque|sa.li.kɔk
salignon|sa.li.ɲɔ̃
salissement|sa.li.mɑ̃
salonguer|sa.lɔ̃.ɡe
salpingographie|sal.pɛ̃.ɡʁa.fi
salpêtrage|sal.ʁaʒ
salsolacée|sal.se
saltationnisme|sal.ta.sjɔ̃.sjɔ.nism
salticidé|sal.de
samboïste|sɑ̃.ist
sampot|sɑ̃.po
san-benito|sɑ̃.to
sandalière|sɑ̃.ljɛʁ
sanderling|sɑ̃.liŋ
sapinage|sa.pɛ̃.naʒ
sapindacée|sa.pɛ̃.se
saponacée|sa.pɔ.se
saponase|sa.pɔ.naz
sapropèle|sa.pʁɔ.zi.pɛl
saroual|sa.ʒwal
sassenage|sa.naʒ
satyriasique|sa.ti.zik
saurin|so.ʁɛ̃
savart|sa.vaʁ
sb|
scheik|
schleichera|ʃlø.ʁa
schlittage|taʒ
schlitteur|tœʁ
schnouf|ʃnɔʁ.ʃnuf
scholie|skɔ.li
schorre|
schupo|pus
schwarzienne|zjɛn
scindage|sɛ̃.daʒ
scintillogramme|sɛ̃.ti.ɡʁam
scintillographie|sɛ̃.ti.ɡʁa.fi
scissile|si.sil
sclérifiante|skle.fjɑ̃t
sclérifier|skle.fje
sclérite|skle.ʁit
sclérokératite|skle.ʁɔ.ke.ʁa.tit
sclérotinia|skle.ʁɔ.si.nja
scléterectasie|skle.ɛk.ta.zi
scléterectomie|skle.tɔ.mi
scoriacée|skɔʁ.se
scriban|skʁi.bu.bɑ̃
scyphoméduse|me.dyz
scyphozoaire|ɛʁ
sdcard|kaʁ
sea-line|sə.withoutA-Z
secam|sə.kam
secouante|sə.ku.ɑ̃t
secoueur|sə.ku.œʁ
seigneuriage|ɲœ.ʁjaʒ
seinomarine|sɛ̃.ma.ʁin
semestrialisation|sə.li.za.sjɔ̃
semi-finie|sə.mi.ni
semi-manufacturée|y.ʁe
semi-ouvrée|sə.mi.vʁe
semnopithèque|tɛk
senescence|sə.sɑ̃s
sensitographe|sɑ̃.si.to.ɡʁaf
sensualisme|sɑ̃.sɥa.a.lism
septime|sɛp.tim
serapeum|sɛʁ.
serfouissage|sɛʁ.saʒ
serlienne|sɛʁ.ljɛn
serpentement|sɛʁp.mɑ̃
serpigineuse|sɛʁ.nøz
sertraline|sɛʁ.lin
servocommande|sɛʁ.vo.kɔ.mɑ̃d
servodirection|sɛʁ.vo.za.sjɔ̃
sesquialtère|sɛs.tɛʁ
sevrage|sə.ʁaʒ
shafiisme|ʃa.ism
shlag|laɡ
shrapnell|ʃʁap.
shériff|ʃe.ʁif.ʁif
sialique|sja.lik
sidologie|si.de.lɔ.ʒi
sidérocyte|si.de.ʁɔ.sit
sidéropénie|si.de.ʁɔ.ni
sidéroxylon|si.de.ʁɔ.lɔ̃
sifflotante|si.tɑ̃t
silicagel|sil.ʒɛl
silicomanganèse|si.li.mɑ̃.ɡa.nɛz
siliconose|sil.noz
silicotique|sil.tik
siluriforme|si.fɔʁm
siluroïde|si.id
simaruba|si.mɑ.ba
simonienne|si.mɔ.ni.njɛn
simonisme|si.mɔ.nism
simpliciale|sɛ̃.sjal
sismogenèse|sis.mɔ.ʒə.nɛz
sistership|sis.ʃip
sitone|si.to.tɔn
situationnisme|si.tɥa.sjɔ̃.sjɔ.nism
skarn|skɛt.baʁn
sky-surfing|skaj.fiŋ
slavisante|sla.zɑ̃t
smaragdine|sma.din
smillage|smi.jaʒ
smorrebrod|smɔʁ.
smurfeuse|smœʁf.føz
snowpark|sno.maʁk
sociatrie|sɔk.me.tʁi
soclage|sɔkl.klaʒ
soirer|swaʁ.ʁe
soman|sɔ.ma.mɑ̃
somatopleure|sɔ.ma.plœʁ
somatotrophine|sɔ.ma.fin
sommatrice|sɔ.ma.tʁis
